name;bool_val
Москва и Московская обл.;1
Санкт-Петербург и область;1
Адыгея;1
Алтайский край;0
Амурская обл.;0
Архангельская обл.;1
Астраханская обл.;1
Башкортостан (Башкирия);1
Белгородская обл.;1
Брянская обл.;1
Бурятия;0
Владимирская обл.;1
Волгоградская обл.;1
Вологодская обл.;1
Воронежская обл.;1
Дагестан;1
Еврейская обл.;0
Ивановская обл.;1
Иркутская обл.;0
Кабардино-Балкария;1
Калининградская обл.;0
Калмыкия;1
Калужская обл.;1
Камчатская обл.;0
Карелия;1
Кемеровская обл.;0
Кировская обл.;1
Коми;0
Костромская обл.;1
Краснодарский край;1
Красноярский край;0
Курганская обл.;1
Курская обл.;1
Липецкая обл.;1
Магаданская обл.;0
Марий Эл;1
Мордовия;1
Мурманская обл.;1
Нижегородская (Горьковская);1
Новгородская обл.;1
Новосибирская обл.;0
Омская обл.;0
Оренбургская обл.;1
Орловская обл.;1
Пензенская обл.;1
Пермская обл.;1
Приморский край;0
Псковская обл.;1
Ростовская обл.;1
Рязанская обл.;1
Самарская обл.;1
Саратовская обл.;1
Саха (Якутия);0
Сахалин;0
Свердловская обл.;1
Северная Осетия;1
Смоленская обл.;1
Ставропольский край;1
Тамбовская обл.;1
Татарстан;1
Тверская обл.;1
Томская обл.;0
Тува (Тувинская Респ.);0
Тульская обл.;1
Тюменская обл.;1
Удмуртия;1
Ульяновская обл.;1
Хабаровский край;0
Хакасия;0
Ханты-Мансийский АО;0
Челябинская обл.;1
Чечено-Ингушетия;1
Читинская обл.;0
Чувашия;1
Чукотский АО;0
Ямало-Ненецкий АО;0
Ярославская обл.;1
